model,roc_auc_train,roc_auc_test,pr_auc_train,pr_auc_test,brier_train,brier_test,f1_train,f1_test
RandomForest,0.9999332690420017,0.9516701101928374,0.9981157644399494,0.5385347243245309,0.01405088904909336,0.03765550171296819,0.836104513064133,0.48484848484848486
XGBoost,0.9950576038850334,0.943939393939394,0.8425883967919291,0.5075598264553342,0.056527477991614034,0.07633033779175434,0.463768115942029,0.35294117647058826
LogisticRegression,0.937969269317536,0.8904097796143251,0.3539953849240594,0.30025822391001045,0.11168120523675769,0.11029490517201776,0.29389312977099236,0.3050847457627119
